2026/07/15 20:59:02.929, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:02.930, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:59:03.930, 0, 20905 MiB, 19536 MiB, 97 %
2026/07/15 20:59:03.930, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:04.930, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 20:59:04.930, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:05.930, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 20:59:05.931, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:06.931, 0, 20905 MiB, 19536 MiB, 93 %
2026/07/15 20:59:06.932, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 20:59:07.932, 0, 20905 MiB, 19536 MiB, 89 %
2026/07/15 20:59:07.932, 1, 19319 MiB, 21122 MiB, 90 %
2026/07/15 20:59:08.932, 0, 20905 MiB, 19536 MiB, 69 %
2026/07/15 20:59:08.932, 1, 19319 MiB, 21122 MiB, 89 %
2026/07/15 20:59:09.933, 0, 20905 MiB, 19536 MiB, 81 %
2026/07/15 20:59:09.933, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 20:59:10.933, 0, 20905 MiB, 19536 MiB, 84 %
2026/07/15 20:59:10.934, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 20:59:11.934, 0, 20905 MiB, 19536 MiB, 65 %
2026/07/15 20:59:11.934, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 20:59:12.934, 0, 20905 MiB, 19536 MiB, 67 %
2026/07/15 20:59:12.934, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:59:13.935, 0, 20905 MiB, 19536 MiB, 78 %
2026/07/15 20:59:13.935, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 20:59:14.935, 0, 20905 MiB, 19536 MiB, 99 %
2026/07/15 20:59:14.935, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:15.935, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:15.936, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 20:59:16.936, 0, 20905 MiB, 19536 MiB, 99 %
2026/07/15 20:59:16.937, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:17.937, 0, 20905 MiB, 19536 MiB, 94 %
2026/07/15 20:59:17.937, 1, 19319 MiB, 21122 MiB, 88 %
2026/07/15 20:59:18.937, 0, 20905 MiB, 19536 MiB, 96 %
2026/07/15 20:59:18.937, 1, 19319 MiB, 21122 MiB, 93 %
2026/07/15 20:59:19.938, 0, 20905 MiB, 19536 MiB, 96 %
2026/07/15 20:59:19.938, 1, 19319 MiB, 21122 MiB, 93 %
2026/07/15 20:59:20.938, 0, 20905 MiB, 19536 MiB, 97 %
2026/07/15 20:59:20.938, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 20:59:21.938, 0, 20905 MiB, 19536 MiB, 92 %
2026/07/15 20:59:21.938, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 20:59:22.939, 0, 20905 MiB, 19536 MiB, 94 %
2026/07/15 20:59:22.939, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 20:59:23.939, 0, 20905 MiB, 19536 MiB, 68 %
2026/07/15 20:59:23.939, 1, 19319 MiB, 21122 MiB, 81 %
2026/07/15 20:59:24.939, 0, 20905 MiB, 19536 MiB, 82 %
2026/07/15 20:59:24.939, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:25.940, 0, 20905 MiB, 19536 MiB, 90 %
2026/07/15 20:59:25.940, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:26.940, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:26.941, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:27.941, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:27.941, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:59:28.941, 0, 20905 MiB, 19536 MiB, 97 %
2026/07/15 20:59:28.941, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 20:59:29.941, 0, 20905 MiB, 19536 MiB, 98 %
2026/07/15 20:59:29.942, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:30.942, 0, 20905 MiB, 19536 MiB, 97 %
2026/07/15 20:59:30.942, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:31.942, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 20:59:31.942, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 20:59:32.943, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 20:59:32.943, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:59:33.943, 0, 20905 MiB, 19536 MiB, 77 %
2026/07/15 20:59:33.943, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 20:59:34.943, 0, 20905 MiB, 19536 MiB, 66 %
2026/07/15 20:59:34.944, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 20:59:35.944, 0, 20905 MiB, 19536 MiB, 94 %
2026/07/15 20:59:35.944, 1, 19319 MiB, 21122 MiB, 82 %
2026/07/15 20:59:36.944, 0, 20905 MiB, 19536 MiB, 89 %
2026/07/15 20:59:36.944, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 20:59:37.945, 0, 20905 MiB, 19536 MiB, 58 %
2026/07/15 20:59:37.945, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 20:59:38.945, 0, 20905 MiB, 19536 MiB, 64 %
2026/07/15 20:59:38.945, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 20:59:39.945, 0, 20905 MiB, 19536 MiB, 75 %
2026/07/15 20:59:39.946, 1, 19319 MiB, 21122 MiB, 92 %
2026/07/15 20:59:40.946, 0, 20905 MiB, 19536 MiB, 82 %
2026/07/15 20:59:40.946, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:41.947, 0, 20905 MiB, 19536 MiB, 94 %
2026/07/15 20:59:41.947, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:42.947, 0, 20905 MiB, 19536 MiB, 86 %
2026/07/15 20:59:42.947, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:43.947, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 20:59:43.948, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:44.948, 0, 20905 MiB, 19536 MiB, 93 %
2026/07/15 20:59:44.948, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:59:45.948, 0, 20905 MiB, 19536 MiB, 91 %
2026/07/15 20:59:45.949, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 20:59:46.949, 0, 20905 MiB, 19536 MiB, 89 %
2026/07/15 20:59:46.949, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:59:47.950, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:47.950, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 20:59:48.950, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:48.950, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:59:49.950, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:49.951, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 20:59:50.951, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:50.951, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 20:59:51.951, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 20:59:51.951, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 20:59:52.951, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:52.952, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:59:53.952, 0, 20905 MiB, 19536 MiB, 94 %
2026/07/15 20:59:53.952, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 20:59:54.952, 0, 20905 MiB, 19536 MiB, 85 %
2026/07/15 20:59:54.952, 1, 19319 MiB, 21122 MiB, 92 %
2026/07/15 20:59:55.952, 0, 20905 MiB, 19536 MiB, 93 %
2026/07/15 20:59:55.953, 1, 19319 MiB, 21122 MiB, 91 %
2026/07/15 20:59:56.953, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 20:59:56.954, 1, 19319 MiB, 21122 MiB, 94 %
2026/07/15 20:59:57.954, 0, 20905 MiB, 19536 MiB, 96 %
2026/07/15 20:59:57.954, 1, 19319 MiB, 21122 MiB, 85 %
2026/07/15 20:59:58.954, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 20:59:58.954, 1, 19319 MiB, 21122 MiB, 98 %
2026/07/15 20:59:59.955, 0, 20905 MiB, 19536 MiB, 82 %
2026/07/15 20:59:59.955, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:00.955, 0, 20905 MiB, 19536 MiB, 100 %
2026/07/15 21:00:00.955, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 21:00:01.955, 0, 20905 MiB, 19536 MiB, 96 %
2026/07/15 21:00:01.955, 1, 19319 MiB, 21122 MiB, 97 %
2026/07/15 21:00:02.956, 0, 20905 MiB, 19536 MiB, 97 %
2026/07/15 21:00:02.956, 1, 19319 MiB, 21122 MiB, 99 %
2026/07/15 21:00:03.956, 0, 20905 MiB, 19536 MiB, 98 %
2026/07/15 21:00:03.956, 1, 19319 MiB, 21122 MiB, 72 %
2026/07/15 21:00:04.956, 0, 20905 MiB, 19536 MiB, 77 %
2026/07/15 21:00:04.957, 1, 19319 MiB, 21122 MiB, 50 %
2026/07/15 21:00:05.957, 0, 20905 MiB, 19536 MiB, 76 %
2026/07/15 21:00:05.958, 1, 19319 MiB, 21122 MiB, 86 %
2026/07/15 21:00:06.958, 0, 20905 MiB, 19536 MiB, 56 %
2026/07/15 21:00:06.958, 1, 19319 MiB, 21122 MiB, 81 %
2026/07/15 21:00:07.958, 0, 20905 MiB, 19536 MiB, 92 %
2026/07/15 21:00:07.958, 1, 19319 MiB, 21122 MiB, 92 %
2026/07/15 21:00:08.958, 0, 20905 MiB, 19536 MiB, 77 %
2026/07/15 21:00:08.959, 1, 19319 MiB, 21122 MiB, 98 %
2026/07/15 21:00:09.959, 0, 20905 MiB, 19536 MiB, 93 %
2026/07/15 21:00:09.959, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 21:00:10.959, 0, 20905 MiB, 19536 MiB, 95 %
2026/07/15 21:00:10.960, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 21:00:11.960, 0, 20905 MiB, 19536 MiB, 100 %
