2026/07/15 20:56:41.850, 0, 27415 MiB, 13026 MiB, 81 %
2026/07/15 20:56:41.850, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:42.850, 0, 27415 MiB, 13026 MiB, 87 %
2026/07/15 20:56:42.850, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:56:43.850, 0, 27415 MiB, 13026 MiB, 73 %
2026/07/15 20:56:43.850, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:44.851, 0, 27415 MiB, 13026 MiB, 66 %
2026/07/15 20:56:44.851, 1, 27535 MiB, 12906 MiB, 90 %
2026/07/15 20:56:45.851, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:56:45.851, 1, 27535 MiB, 12906 MiB, 98 %
2026/07/15 20:56:46.851, 0, 27415 MiB, 13026 MiB, 58 %
2026/07/15 20:56:46.851, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:47.852, 0, 27415 MiB, 13026 MiB, 95 %
2026/07/15 20:56:47.852, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:48.852, 0, 27415 MiB, 13026 MiB, 91 %
2026/07/15 20:56:48.852, 1, 27535 MiB, 12906 MiB, 99 %
2026/07/15 20:56:49.852, 0, 27415 MiB, 13026 MiB, 75 %
2026/07/15 20:56:49.853, 1, 27535 MiB, 12906 MiB, 97 %
2026/07/15 20:56:50.853, 0, 27415 MiB, 13026 MiB, 88 %
2026/07/15 20:56:50.853, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:51.853, 0, 27415 MiB, 13026 MiB, 60 %
2026/07/15 20:56:51.853, 1, 27535 MiB, 12906 MiB, 97 %
2026/07/15 20:56:52.853, 0, 27415 MiB, 13026 MiB, 93 %
2026/07/15 20:56:52.854, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:56:53.854, 0, 27415 MiB, 13026 MiB, 97 %
2026/07/15 20:56:53.854, 1, 27535 MiB, 12906 MiB, 42 %
2026/07/15 20:56:54.854, 0, 27415 MiB, 13026 MiB, 84 %
2026/07/15 20:56:54.854, 1, 27535 MiB, 12906 MiB, 94 %
2026/07/15 20:56:55.855, 0, 27415 MiB, 13026 MiB, 89 %
2026/07/15 20:56:55.855, 1, 27535 MiB, 12906 MiB, 82 %
2026/07/15 20:56:56.855, 0, 27415 MiB, 13026 MiB, 69 %
2026/07/15 20:56:56.855, 1, 27535 MiB, 12906 MiB, 92 %
2026/07/15 20:56:57.855, 0, 27415 MiB, 13026 MiB, 65 %
2026/07/15 20:56:57.855, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:58.856, 0, 27415 MiB, 13026 MiB, 97 %
2026/07/15 20:56:58.856, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:56:59.856, 0, 27415 MiB, 13026 MiB, 89 %
2026/07/15 20:56:59.856, 1, 27535 MiB, 12906 MiB, 90 %
2026/07/15 20:57:00.856, 0, 27415 MiB, 13026 MiB, 95 %
2026/07/15 20:57:00.857, 1, 27535 MiB, 12906 MiB, 88 %
2026/07/15 20:57:01.857, 0, 27415 MiB, 13026 MiB, 89 %
2026/07/15 20:57:01.857, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:02.857, 0, 27415 MiB, 13026 MiB, 67 %
2026/07/15 20:57:02.857, 1, 27535 MiB, 12906 MiB, 97 %
2026/07/15 20:57:03.858, 0, 27415 MiB, 13026 MiB, 59 %
2026/07/15 20:57:03.858, 1, 27535 MiB, 12906 MiB, 90 %
2026/07/15 20:57:04.858, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:57:04.858, 1, 27535 MiB, 12906 MiB, 94 %
2026/07/15 20:57:05.858, 0, 27415 MiB, 13026 MiB, 88 %
2026/07/15 20:57:05.859, 1, 27535 MiB, 12906 MiB, 100 %
2026/07/15 20:57:06.859, 0, 27415 MiB, 13026 MiB, 80 %
2026/07/15 20:57:06.859, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:07.859, 0, 27415 MiB, 13026 MiB, 56 %
2026/07/15 20:57:07.860, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:08.860, 0, 27415 MiB, 13026 MiB, 77 %
2026/07/15 20:57:08.860, 1, 27535 MiB, 12906 MiB, 94 %
2026/07/15 20:57:09.860, 0, 27415 MiB, 13026 MiB, 95 %
2026/07/15 20:57:09.860, 1, 27535 MiB, 12906 MiB, 92 %
2026/07/15 20:57:10.861, 0, 27415 MiB, 13026 MiB, 67 %
2026/07/15 20:57:10.861, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:11.861, 0, 27415 MiB, 13026 MiB, 92 %
2026/07/15 20:57:11.861, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:57:12.861, 0, 27415 MiB, 13026 MiB, 97 %
2026/07/15 20:57:12.862, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:13.862, 0, 27415 MiB, 13026 MiB, 87 %
2026/07/15 20:57:13.862, 1, 27535 MiB, 12906 MiB, 99 %
2026/07/15 20:57:14.862, 0, 27415 MiB, 13026 MiB, 51 %
2026/07/15 20:57:14.862, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:15.863, 0, 27415 MiB, 13026 MiB, 79 %
2026/07/15 20:57:15.863, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:16.863, 0, 27415 MiB, 13026 MiB, 92 %
2026/07/15 20:57:16.863, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:17.864, 0, 27415 MiB, 13026 MiB, 81 %
2026/07/15 20:57:17.864, 1, 27535 MiB, 12906 MiB, 92 %
2026/07/15 20:57:18.864, 0, 27415 MiB, 13026 MiB, 82 %
2026/07/15 20:57:18.864, 1, 27535 MiB, 12906 MiB, 94 %
2026/07/15 20:57:19.864, 0, 27415 MiB, 13026 MiB, 68 %
2026/07/15 20:57:19.864, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:20.864, 0, 27415 MiB, 13026 MiB, 88 %
2026/07/15 20:57:20.865, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:21.865, 0, 27415 MiB, 13026 MiB, 79 %
2026/07/15 20:57:21.865, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:22.865, 0, 27415 MiB, 13026 MiB, 94 %
2026/07/15 20:57:22.865, 1, 27535 MiB, 12906 MiB, 89 %
2026/07/15 20:57:23.866, 0, 27415 MiB, 13026 MiB, 67 %
2026/07/15 20:57:23.866, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:24.866, 0, 27415 MiB, 13026 MiB, 83 %
2026/07/15 20:57:24.866, 1, 27535 MiB, 12906 MiB, 100 %
2026/07/15 20:57:25.866, 0, 27415 MiB, 13026 MiB, 69 %
2026/07/15 20:57:25.866, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:26.867, 0, 27415 MiB, 13026 MiB, 57 %
2026/07/15 20:57:26.867, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:27.867, 0, 27415 MiB, 13026 MiB, 62 %
2026/07/15 20:57:27.867, 1, 27535 MiB, 12906 MiB, 90 %
2026/07/15 20:57:28.867, 0, 27415 MiB, 13026 MiB, 95 %
2026/07/15 20:57:28.867, 1, 27535 MiB, 12906 MiB, 81 %
2026/07/15 20:57:29.868, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:57:29.868, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:30.868, 0, 27415 MiB, 13026 MiB, 67 %
2026/07/15 20:57:30.868, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:31.868, 0, 27415 MiB, 13026 MiB, 60 %
2026/07/15 20:57:31.869, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:57:32.869, 0, 27415 MiB, 13026 MiB, 66 %
2026/07/15 20:57:32.869, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:33.869, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:57:33.869, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:57:34.869, 0, 27415 MiB, 13026 MiB, 74 %
2026/07/15 20:57:34.870, 1, 27535 MiB, 12906 MiB, 94 %
2026/07/15 20:57:35.870, 0, 27415 MiB, 13026 MiB, 65 %
2026/07/15 20:57:35.870, 1, 27535 MiB, 12906 MiB, 90 %
2026/07/15 20:57:36.870, 0, 27415 MiB, 13026 MiB, 95 %
2026/07/15 20:57:36.870, 1, 27535 MiB, 12906 MiB, 100 %
2026/07/15 20:57:37.870, 0, 27415 MiB, 13026 MiB, 87 %
2026/07/15 20:57:37.871, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:38.871, 0, 27415 MiB, 13026 MiB, 81 %
2026/07/15 20:57:38.871, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:57:39.871, 0, 27415 MiB, 13026 MiB, 92 %
2026/07/15 20:57:39.871, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:57:40.872, 0, 27415 MiB, 13026 MiB, 95 %
2026/07/15 20:57:40.872, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:57:41.872, 0, 27415 MiB, 13026 MiB, 86 %
2026/07/15 20:57:41.872, 1, 27535 MiB, 12906 MiB, 93 %
2026/07/15 20:57:42.872, 0, 27415 MiB, 13026 MiB, 53 %
2026/07/15 20:57:42.872, 1, 27537 MiB, 12904 MiB, 93 %
2026/07/15 20:57:43.873, 0, 27415 MiB, 13026 MiB, 87 %
2026/07/15 20:57:43.873, 1, 27537 MiB, 12904 MiB, 97 %
2026/07/15 20:57:44.873, 0, 27415 MiB, 13026 MiB, 97 %
2026/07/15 20:57:44.873, 1, 27537 MiB, 12904 MiB, 63 %
2026/07/15 20:57:45.873, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:57:45.874, 1, 27537 MiB, 12904 MiB, 94 %
2026/07/15 20:57:46.874, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:57:46.874, 1, 27537 MiB, 12904 MiB, 94 %
2026/07/15 20:57:47.874, 0, 27415 MiB, 13026 MiB, 67 %
2026/07/15 20:57:47.874, 1, 27537 MiB, 12904 MiB, 92 %
2026/07/15 20:57:48.875, 0, 27415 MiB, 13026 MiB, 66 %
2026/07/15 20:57:48.875, 1, 27537 MiB, 12904 MiB, 97 %
2026/07/15 20:57:49.875, 0, 27415 MiB, 13026 MiB, 72 %
2026/07/15 20:57:49.875, 1, 27537 MiB, 12904 MiB, 95 %
2026/07/15 20:57:50.875, 0, 27415 MiB, 13026 MiB, 79 %
2026/07/15 20:57:50.875, 1, 27537 MiB, 12904 MiB, 91 %
2026/07/15 20:57:51.876, 0, 27415 MiB, 13026 MiB, 94 %
2026/07/15 20:57:51.876, 1, 27537 MiB, 12904 MiB, 95 %
2026/07/15 20:57:52.876, 0, 27415 MiB, 13026 MiB, 95 %
2026/07/15 20:57:52.876, 1, 27537 MiB, 12904 MiB, 91 %
2026/07/15 20:57:53.876, 0, 27415 MiB, 13026 MiB, 66 %
2026/07/15 20:57:53.876, 1, 27537 MiB, 12904 MiB, 97 %
2026/07/15 20:57:54.876, 0, 27415 MiB, 13026 MiB, 55 %
2026/07/15 20:57:54.877, 1, 27537 MiB, 12904 MiB, 94 %
2026/07/15 20:57:55.877, 0, 27415 MiB, 13026 MiB, 75 %
2026/07/15 20:57:55.877, 1, 27537 MiB, 12904 MiB, 94 %
2026/07/15 20:57:56.878, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:57:56.878, 1, 27537 MiB, 12904 MiB, 100 %
2026/07/15 20:57:57.878, 0, 27415 MiB, 13026 MiB, 89 %
2026/07/15 20:57:57.878, 1, 27537 MiB, 12904 MiB, 96 %
2026/07/15 20:57:58.878, 0, 27415 MiB, 13026 MiB, 57 %
2026/07/15 20:57:58.879, 1, 27537 MiB, 12904 MiB, 95 %
2026/07/15 20:57:59.879, 0, 27415 MiB, 13026 MiB, 65 %
2026/07/15 20:57:59.879, 1, 27537 MiB, 12904 MiB, 95 %
2026/07/15 20:58:00.879, 0, 27415 MiB, 13026 MiB, 96 %
2026/07/15 20:58:00.879, 1, 27537 MiB, 12904 MiB, 95 %
2026/07/15 20:58:01.880, 0, 27415 MiB, 13026 MiB, 67 %
2026/07/15 20:58:01.880, 1, 27537 MiB, 12904 MiB, 96 %
2026/07/15 20:58:02.880, 0, 27415 MiB, 13026 MiB, 79 %
2026/07/15 20:58:02.880, 1, 27537 MiB, 12904 MiB, 91 %
2026/07/15 20:58:03.880, 0, 27415 MiB, 13026 MiB, 79 %
2026/07/15 20:58:03.881, 1, 27537 MiB, 12904 MiB, 95 %
2026/07/15 20:58:04.881, 0, 27415 MiB, 13026 MiB, 90 %
2026/07/15 20:58:04.882, 1, 27537 MiB, 12904 MiB, 78 %
2026/07/15 20:58:05.882, 0, 27415 MiB, 13026 MiB, 84 %
2026/07/15 20:58:05.882, 1, 27537 MiB, 12904 MiB, 94 %
2026/07/15 20:58:06.882, 0, 27415 MiB, 13026 MiB, 94 %
2026/07/15 20:58:06.882, 1, 27537 MiB, 12904 MiB, 96 %
2026/07/15 20:58:07.883, 0, 27415 MiB, 13026 MiB, 70 %
2026/07/15 20:58:07.883, 1, 27537 MiB, 12904 MiB, 97 %
2026/07/15 20:58:08.883, 0, 27415 MiB, 13026 MiB, 99 %
2026/07/15 20:58:08.883, 1, 27537 MiB, 12904 MiB, 84 %
