2026/07/15 20:49:37.795, 0, 33667 MiB, 6774 MiB, 97 %
2026/07/15 20:49:37.795, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:49:38.795, 0, 33667 MiB, 6774 MiB, 94 %
2026/07/15 20:49:38.796, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:49:39.796, 0, 33667 MiB, 6774 MiB, 93 %
2026/07/15 20:49:39.796, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:49:40.796, 0, 33667 MiB, 6774 MiB, 90 %
2026/07/15 20:49:40.796, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:49:41.796, 0, 33667 MiB, 6774 MiB, 89 %
2026/07/15 20:49:41.797, 1, 28591 MiB, 11850 MiB, 95 %
2026/07/15 20:49:42.797, 0, 33667 MiB, 6774 MiB, 98 %
2026/07/15 20:49:42.797, 1, 28591 MiB, 11850 MiB, 91 %
2026/07/15 20:49:43.797, 0, 33667 MiB, 6774 MiB, 96 %
2026/07/15 20:49:43.797, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:49:44.797, 0, 33667 MiB, 6774 MiB, 94 %
2026/07/15 20:49:44.798, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:49:45.798, 0, 33667 MiB, 6774 MiB, 88 %
2026/07/15 20:49:45.798, 1, 28591 MiB, 11850 MiB, 91 %
2026/07/15 20:49:46.798, 0, 33667 MiB, 6774 MiB, 90 %
2026/07/15 20:49:46.798, 1, 28591 MiB, 11850 MiB, 91 %
2026/07/15 20:49:47.799, 0, 33667 MiB, 6774 MiB, 98 %
2026/07/15 20:49:47.799, 1, 28591 MiB, 11850 MiB, 91 %
2026/07/15 20:49:48.799, 0, 33667 MiB, 6774 MiB, 100 %
2026/07/15 20:49:48.799, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:49:49.799, 0, 33667 MiB, 6774 MiB, 95 %
2026/07/15 20:49:49.799, 1, 28591 MiB, 11850 MiB, 100 %
